date,currency,rate
1999-01-04,AUD,1.91
1999-01-04,CAD,1.8004
1999-01-04,CHF,1.6168
1999-01-04,CZK,35.107
1999-01-04,DKK,7.4501
1999-01-04,GBP,0.7111
1999-01-04,HKD,9.1332
1999-01-04,HUF,251.48
1999-01-04,JPY,133.73
1999-01-04,KRW,1398.59
1999-01-04,NOK,8.855
1999-01-04,NZD,2.2229
1999-01-04,PLN,4.0712
1999-01-04,SEK,9.4696
1999-01-04,SGD,1.9554
1999-01-04,USD,1.1789
1999-01-04,ZAR,6.9358
1999-01-05,AUD,1.8944
1999-01-05,CAD,1.7965
1999-01-05,CHF,1.6123
1999-01-05,CZK,34.917
1999-01-05,DKK,7.4495
1999-01-05,GBP,0.7122
1999-01-05,HKD,9.1341
1999-01-05,HUF,250.8
1999-01-05,JPY,130.96
1999-01-05,KRW,1373.01
1999-01-05,NOK,8.7745
1999-01-05,NZD,2.2011
1999-01-05,PLN,4.0245
1999-01-05,SEK,9.4025
1999-01-05,SGD,1.9655
1999-01-05,USD,1.179
1999-01-05,ZAR,6.7975
1999-01-06,AUD,1.882
1999-01-06,CAD,1.7711
1999-01-06,CHF,1.6116
1999-01-06,CZK,34.85
1999-01-06,DKK,7.4452
1999-01-06,GBP,0.7076
1999-01-06,HKD,9.101
1999-01-06,HUF,250.67
1999-01-06,JPY,131.42
1999-01-06,KRW,1359.54
1999-01-06,NOK,8.7335
1999-01-06,NZD,2.189
1999-01-06,PLN,4.0065
1999-01-06,SEK,9.305
1999-01-06,SGD,1.9699
1999-01-06,USD,1.1743
1999-01-06,ZAR,6.7307
1999-01-07,AUD,1.8474
1999-01-07,CAD,1.7602
1999-01-07,CHF,1.6165
1999-01-07,CZK,34.886
1999-01-07,DKK,7.4431
1999-01-07,GBP,0.70585
1999-01-07,HKD,9.0131
1999-01-07,HUF,250.09
1999-01-07,JPY,129.43
1999-01-07,KRW,1337.16
1999-01-07,NOK,8.6295
1999-01-07,NZD,2.1531
1999-01-07,PLN,4.0165
1999-01-07,SEK,9.18
1999-01-07,SGD,1.9436
1999-01-07,USD,1.1632
1999-01-07,ZAR,6.8283
1999-01-08,AUD,1.8406
1999-01-08,CAD,1.7643
1999-01-08,CHF,1.6138
1999-01-08,CZK,34.938
1999-01-08,DKK,7.4433
1999-01-08,GBP,0.7094
1999-01-08,HKD,9.0302
1999-01-08,HUF,250.15
1999-01-08,JPY,130.09
1999-01-08,KRW,1366.73
1999-01-08,NOK,8.59
1999-01-08,NZD,2.1557
1999-01-08,PLN,4.0363
1999-01-08,SEK,9.165
1999-01-08,SGD,1.9537
1999-01-08,USD,1.1659
1999-01-08,ZAR,6.7855
1999-01-11,AUD,1.8134
1999-01-11,CAD,1.7463
1999-01-11,CHF,1.6104
1999-01-11,CZK,35.173
1999-01-11,DKK,7.4433
1999-01-11,GBP,0.7044
1999-01-11,HKD,8.9655
1999-01-11,HUF,249.7
1999-01-11,JPY,126.33
1999-01-11,KRW,1356.7
1999-01-11,NOK,8.5585
1999-01-11,NZD,2.1257
1999-01-11,PLN,4.032
1999-01-11,SEK,9.0985
1999-01-11,SGD,1.9358
1999-01-11,USD,1.1569
1999-01-11,ZAR,6.791
1999-01-12,AUD,1.809
1999-01-12,CAD,1.7392
1999-01-12,CHF,1.6072
1999-01-12,CZK,35.25
1999-01-12,DKK,7.443
1999-01-12,GBP,0.7066
1999-01-12,HKD,8.9246
1999-01-12,HUF,249.2
1999-01-12,JPY,129.63
1999-01-12,KRW,1353.43
1999-01-12,NOK,8.61
1999-01-12,NZD,2.121
1999-01-12,PLN,4.033
1999-01-12,SEK,9.0955
1999-01-12,SGD,1.9343
1999-01-12,USD,1.152
1999-01-12,ZAR,6.9581
1999-01-13,AUD,1.862
1999-01-13,CAD,1.8123
1999-01-13,CHF,1.5931
1999-01-13,CZK,36.113
1999-01-13,DKK,7.4432
1999-01-13,GBP,0.7084
1999-01-13,HKD,9.1008
1999-01-13,HUF,255.01
1999-01-13,JPY,131.89
1999-01-13,KRW,1377.93
1999-01-13,NOK,8.747
1999-01-13,NZD,2.1744
1999-01-13,PLN,4.2033
1999-01-13,SEK,9.14
1999-01-13,SGD,1.9815
1999-01-13,USD,1.1744
1999-01-13,ZAR,7.2543
1999-01-14,AUD,1.8353
1999-01-14,CAD,1.7707
1999-01-14,CHF,1.5934
1999-01-14,CZK,35.698
1999-01-14,DKK,7.4437
1999-01-14,GBP,0.7062
1999-01-14,HKD,9.0288
1999-01-14,HUF,253.84
1999-01-14,JPY,132.74
1999-01-14,KRW,1382.23
1999-01-14,NOK,8.7245
1999-01-14,NZD,2.157
1999-01-14,PLN,4.1335
1999-01-14,SEK,9.135
1999-01-14,SGD,1.9615
1999-01-14,USD,1.1653
1999-01-14,ZAR,7.1316
1999-01-15,AUD,1.8388
1999-01-15,CAD,1.7797
1999-01-15,CHF,1.5984
1999-01-15,CZK,35.86
1999-01-15,DKK,7.4441
1999-01-15,GBP,0.7039
1999-01-15,HKD,9.0102
1999-01-15,HUF,253.34
1999-01-15,JPY,131.74
1999-01-15,KRW,1375.76
1999-01-15,NOK,8.715
1999-01-15,NZD,2.1582
1999-01-15,PLN,4.2
1999-01-15,SEK,9.157
1999-01-15,SGD,1.957
1999-01-15,USD,1.1626
1999-01-15,ZAR,7.2197
1999-01-18,AUD,1.8292
1999-01-18,CAD,1.7717
1999-01-18,CHF,1.6004
1999-01-18,CZK,35.615
1999-01-18,DKK,7.4431
1999-01-18,GBP,0.7013
1999-01-18,HKD,8.9944
1999-01-18,HUF,250.78
1999-01-18,JPY,132.9
1999-01-18,KRW,1371.26
1999-01-18,NOK,8.6575
1999-01-18,NZD,2.1671
1999-01-18,PLN,4.0667
1999-01-18,SEK,9.093
1999-01-18,SGD,1.9549
1999-01-18,USD,1.1612
1999-01-18,ZAR,6.9596
1999-01-19,AUD,1.8295
1999-01-19,CAD,1.7739
1999-01-19,CHF,1.6001
1999-01-19,CZK,35.745
1999-01-19,DKK,7.438
1999-01-19,GBP,0.7
1999-01-19,HKD,8.9944
1999-01-19,HUF,250.64
1999-01-19,JPY,132.14
1999-01-19,KRW,1364.47
1999-01-19,NOK,8.63
1999-01-19,NZD,2.1614
1999-01-19,PLN,4.0973
1999-01-19,SEK,9.0045
1999-01-19,SGD,1.9521
1999-01-19,USD,1.1616
1999-01-19,ZAR,7.0161
1999-01-20,AUD,1.8064
1999-01-20,CAD,1.7626
1999-01-20,CHF,1.6024
1999-01-20,CZK,35.773
1999-01-20,DKK,7.4378
1999-01-20,GBP,0.7014
1999-01-20,HKD,8.9605
1999-01-20,HUF,249.99
1999-01-20,JPY,131.59
1999-01-20,KRW,1349.24
1999-01-20,NOK,8.6
1999-01-20,NZD,2.1499
1999-01-20,PLN,4.0847
1999-01-20,SEK,8.9645
1999-01-20,SGD,1.9398
1999-01-20,USD,1.1575
1999-01-20,ZAR,6.945
1999-01-21,AUD,1.8171
1999-01-21,CAD,1.7529
1999-01-21,CHF,1.603
1999-01-21,CZK,36.06
1999-01-21,DKK,7.4385
1999-01-21,GBP,0.7023
1999-01-21,HKD,8.9647
1999-01-21,HUF,250.17
1999-01-21,JPY,130.34
1999-01-21,KRW,1356.82
1999-01-21,NOK,8.605
1999-01-21,NZD,2.1489
1999-01-21,PLN,4.1277
1999-01-21,SEK,8.943
1999-01-21,SGD,1.9368
1999-01-21,USD,1.1572
1999-01-21,ZAR,6.9797
1999-01-22,AUD,1.8225
1999-01-22,CAD,1.7515
1999-01-22,CHF,1.5983
1999-01-22,CZK,36.287
1999-01-22,DKK,7.4372
1999-01-22,GBP,0.7005
1999-01-22,HKD,8.9738
1999-01-22,HUF,250.16
1999-01-22,JPY,131.88
1999-01-22,KRW,1365.8
1999-01-22,NOK,8.6225
1999-01-22,NZD,2.1519
1999-01-22,PLN,4.1587
1999-01-22,SEK,9.011
1999-01-22,SGD,1.9461
1999-01-22,USD,1.1567
1999-01-22,ZAR,7.03
1999-01-25,AUD,1.8317
1999-01-25,CAD,1.762
1999-01-25,CHF,1.5966
1999-01-25,CZK,36.211
1999-01-25,DKK,7.4367
1999-01-25,GBP,0.6989
1999-01-25,HKD,8.9765
1999-01-25,HUF,250.47
1999-01-25,JPY,132.09
1999-01-25,KRW,1366.16
1999-01-25,NOK,8.6125
1999-01-25,NZD,2.1659
1999-01-25,PLN,4.1607
1999-01-25,SEK,8.94
1999-01-25,SGD,1.9557
1999-01-25,USD,1.1584
1999-01-25,ZAR,7.0241
