date,currency,rate
2025-07-03,AUD,1.7928
2025-07-03,BGN,1.9558
2025-07-03,BRL,6.3992000000000004
2025-07-03,CAD,1.601
2025-07-03,CHF,0.9351
2025-07-03,CNY,8.4377
2025-07-03,CZK,24.646
2025-07-03,DKK,7.4615
2025-07-03,GBP,0.8629
2025-07-03,HKD,9.2488
2025-07-03,HUF,399.58
2025-07-03,IDR,19111.35
2025-07-03,ILS,3.9562
2025-07-03,INR,100.5915
2025-07-03,ISK,142.4
2025-07-03,JPY,169.58
2025-07-03,KRW,1604.8
2025-07-03,MXN,22.1402
2025-07-03,MYR,4.9755
2025-07-03,NOK,11.875
2025-07-03,NZD,1.942
2025-07-03,PHP,66.374
2025-07-03,PLN,4.2485
2025-07-03,RON,5.0604
2025-07-03,SEK,11.2515
2025-07-03,SGD,1.5003
2025-07-03,THB,38.162
2025-07-03,TRY,46.9614
2025-07-03,USD,1.1782
2025-07-03,ZAR,20.6505
2025-07-02,AUD,1.7934
2025-07-02,BGN,1.9558
2025-07-02,BRL,6.4355
2025-07-02,CAD,1.6041
2025-07-02,CHF,0.933
2025-07-02,CNY,8.4275
2025-07-02,CZK,24.663
2025-07-02,DKK,7.4611
2025-07-02,GBP,0.8605
2025-07-02,HKD,9.2274
2025-07-02,HUF,399
2025-07-02,IDR,19089
2025-07-02,ILS,3.9667
2025-07-02,INR,100.7005
2025-07-02,ISK,143
2025-07-02,JPY,169.45
2025-07-02,KRW,1598.57
2025-07-02,MXN,22.0357
2025-07-02,MYR,4.9712
2025-07-02,NOK,11.878
2025-07-02,NZD,1.9402
2025-07-02,PHP,66.262
2025-07-02,PLN,4.2493
2025-07-02,RON,5.0641
2025-07-02,SEK,11.2005
2025-07-02,SGD,1.4982
2025-07-02,THB,38.133
2025-07-02,TRY,46.7461
2025-07-02,USD,1.1755
2025-07-02,ZAR,20.7569
2025-07-01,AUD,1.7935
2025-07-01,BGN,1.9558
2025-07-01,BRL,6.4115
2025-07-01,CAD,1.6076
2025-07-01,CHF,0.9324
2025-07-01,CNY,8.4584
2025-07-01,CZK,24.68
2025-07-01,DKK,7.4607
